Starting new receiver log.

Received at 1705623475.5331395: Sent at 1705623475.5322597, Delay: 0.0008797645568847656 seconds, Priority: low

Received at 1705623475.6337936: Sent at 1705623475.6334746, Delay: 0.0003190040588378906 seconds, Priority: low

Received at 1705623475.734203: Sent at 1705623475.7338965, Delay: 0.0003066062927246094 seconds, Priority: low

Received at 1705623475.8347073: Sent at 1705623475.8343873, Delay: 0.0003199577331542969 seconds, Priority: low

Received at 1705623475.9352179: Sent at 1705623475.934886, Delay: 0.000331878662109375 seconds, Priority: low

Received at 1705623476.035739: Sent at 1705623476.0354195, Delay: 0.00031948089599609375 seconds, Priority: low

Received at 1705623476.1325755: Sent at 1705623476.1322446, Delay: 0.00033092498779296875 seconds, Priority: high

Received at 1705623476.1361294: Sent at 1705623476.1359475, Delay: 0.0001819133758544922 seconds, Priority: low

Received at 1705623476.2365582: Sent at 1705623476.2362983, Delay: 0.0002598762512207031 seconds, Priority: low

Received at 1705623476.337109: Sent at 1705623476.3367422, Delay: 0.0003669261932373047 seconds, Priority: low

Received at 1705623476.4375567: Sent at 1705623476.4373088, Delay: 0.000247955322265625 seconds, Priority: low

Received at 1705623476.5380847: Sent at 1705623476.5377722, Delay: 0.00031256675720214844 seconds, Priority: low

Received at 1705623476.6385677: Sent at 1705623476.6383255, Delay: 0.0002422332763671875 seconds, Priority: low

Received at 1705623476.739085: Sent at 1705623476.7387786, Delay: 0.0003063678741455078 seconds, Priority: low

Received at 1705623476.8395393: Sent at 1705623476.839295, Delay: 0.00024437904357910156 seconds, Priority: low

Received at 1705623476.9400713: Sent at 1705623476.939743, Delay: 0.00032830238342285156 seconds, Priority: low

Received at 1705623477.0405083: Sent at 1705623477.0402696, Delay: 0.00023865699768066406 seconds, Priority: low

Received at 1705623477.1339262: Sent at 1705623477.1336348, Delay: 0.0002913475036621094 seconds, Priority: high

Received at 1705623477.1409016: Sent at 1705623477.140684, Delay: 0.00021767616271972656 seconds, Priority: low

Received at 1705623477.241434: Sent at 1705623477.241111, Delay: 0.0003230571746826172 seconds, Priority: low

Received at 1705623477.3418357: Sent at 1705623477.3416188, Delay: 0.00021696090698242188 seconds, Priority: low

Received at 1705623477.4423323: Sent at 1705623477.4420192, Delay: 0.00031304359436035156 seconds, Priority: low

Received at 1705623477.5427794: Sent at 1705623477.542515, Delay: 0.0002644062042236328 seconds, Priority: low

Received at 1705623477.6432745: Sent at 1705623477.6429622, Delay: 0.0003123283386230469 seconds, Priority: low

Received at 1705623477.7437031: Sent at 1705623477.743452, Delay: 0.0002510547637939453 seconds, Priority: low

Received at 1705623477.844214: Sent at 1705623477.8438902, Delay: 0.0003237724304199219 seconds, Priority: low

Received at 1705623477.9446237: Sent at 1705623477.9443896, Delay: 0.00023412704467773438 seconds, Priority: low

Received at 1705623478.045102: Sent at 1705623478.0448039, Delay: 0.0002980232238769531 seconds, Priority: low

Received at 1705623478.135228: Sent at 1705623478.1349711, Delay: 0.0002567768096923828 seconds, Priority: high

Received at 1705623478.1454635: Sent at 1705623478.1452818, Delay: 0.00018167495727539062 seconds, Priority: low

Received at 1705623478.2459369: Sent at 1705623478.2456412, Delay: 0.0002956390380859375 seconds, Priority: low

Received at 1705623478.3464265: Sent at 1705623478.3461363, Delay: 0.00029015541076660156 seconds, Priority: low

Received at 1705623478.4469538: Sent at 1705623478.446606, Delay: 0.0003478527069091797 seconds, Priority: low

Received at 1705623478.5474916: Sent at 1705623478.547205, Delay: 0.0002865791320800781 seconds, Priority: low

Received at 1705623478.6480124: Sent at 1705623478.6477034, Delay: 0.000308990478515625 seconds, Priority: low

Received at 1705623478.7485328: Sent at 1705623478.7482, Delay: 0.00033283233642578125 seconds, Priority: low

Received at 1705623478.8490713: Sent at 1705623478.8487215, Delay: 0.0003497600555419922 seconds, Priority: low

Received at 1705623478.9495766: Sent at 1705623478.9492564, Delay: 0.00032019615173339844 seconds, Priority: low

Received at 1705623479.05009: Sent at 1705623479.0497575, Delay: 0.0003325939178466797 seconds, Priority: low

Received at 1705623479.1364758: Sent at 1705623479.1361597, Delay: 0.0003161430358886719 seconds, Priority: high

Received at 1705623479.1505904: Sent at 1705623479.1502693, Delay: 0.0003211498260498047 seconds, Priority: low

Received at 1705623479.250988: Sent at 1705623479.2507505, Delay: 0.00023746490478515625 seconds, Priority: low

Received at 1705623479.351563: Sent at 1705623479.3512216, Delay: 0.0003414154052734375 seconds, Priority: low

Received at 1705623479.4520707: Sent at 1705623479.451754, Delay: 0.000316619873046875 seconds, Priority: low

Received at 1705623479.5525901: Sent at 1705623479.5522542, Delay: 0.00033593177795410156 seconds, Priority: low

Received at 1705623479.653034: Sent at 1705623479.6527665, Delay: 0.0002675056457519531 seconds, Priority: low

Received at 1705623479.7535293: Sent at 1705623479.7532196, Delay: 0.0003097057342529297 seconds, Priority: low

Received at 1705623479.8540053: Sent at 1705623479.8537037, Delay: 0.00030159950256347656 seconds, Priority: low

Received at 1705623479.954516: Sent at 1705623479.9541924, Delay: 0.0003235340118408203 seconds, Priority: low

Received at 1705623480.0550208: Sent at 1705623480.0547037, Delay: 0.0003170967102050781 seconds, Priority: low

Received at 1705623480.1377904: Sent at 1705623480.1375353, Delay: 0.0002551078796386719 seconds, Priority: high

Received at 1705623480.1555278: Sent at 1705623480.1552024, Delay: 0.0003254413604736328 seconds, Priority: low

Received at 1705623480.2560382: Sent at 1705623480.2557065, Delay: 0.00033164024353027344 seconds, Priority: low

Received at 1705623480.3565135: Sent at 1705623480.3562052, Delay: 0.0003082752227783203 seconds, Priority: low

Received at 1705623480.457113: Sent at 1705623480.456746, Delay: 0.0003669261932373047 seconds, Priority: low

Received at 1705623480.5578165: Sent at 1705623480.557488, Delay: 0.0003285408020019531 seconds, Priority: low

Received at 1705623480.6583183: Sent at 1705623480.6580338, Delay: 0.00028443336486816406 seconds, Priority: low

Received at 1705623480.7587981: Sent at 1705623480.7585092, Delay: 0.00028896331787109375 seconds, Priority: low

Received at 1705623480.859278: Sent at 1705623480.8589804, Delay: 0.00029754638671875 seconds, Priority: low

Received at 1705623480.9597623: Sent at 1705623480.9594343, Delay: 0.00032806396484375 seconds, Priority: low

Received at 1705623481.0602577: Sent at 1705623481.0599518, Delay: 0.0003058910369873047 seconds, Priority: low

Received at 1705623481.1382048: Sent at 1705623481.1379087, Delay: 0.0002961158752441406 seconds, Priority: high

Received at 1705623481.1606526: Sent at 1705623481.160436, Delay: 0.0002167224884033203 seconds, Priority: low

Received at 1705623481.2611496: Sent at 1705623481.2608335, Delay: 0.0003161430358886719 seconds, Priority: low

Received at 1705623481.3615491: Sent at 1705623481.361299, Delay: 0.00025010108947753906 seconds, Priority: low

Received at 1705623481.462076: Sent at 1705623481.4617662, Delay: 0.0003097057342529297 seconds, Priority: low

Received at 1705623481.5625656: Sent at 1705623481.5622585, Delay: 0.0003070831298828125 seconds, Priority: low

Received at 1705623481.6630561: Sent at 1705623481.6627498, Delay: 0.0003063678741455078 seconds, Priority: low

Received at 1705623481.7635903: Sent at 1705623481.763269, Delay: 0.00032138824462890625 seconds, Priority: low

Received at 1705623481.8640752: Sent at 1705623481.8637428, Delay: 0.0003323554992675781 seconds, Priority: low

Received at 1705623481.9645798: Sent at 1705623481.9642546, Delay: 0.00032520294189453125 seconds, Priority: low

Received at 1705623482.0649924: Sent at 1705623482.0647364, Delay: 0.0002560615539550781 seconds, Priority: low

Received at 1705623482.1396177: Sent at 1705623482.1393182, Delay: 0.0002994537353515625 seconds, Priority: high

Received at 1705623482.1654806: Sent at 1705623482.1651926, Delay: 0.0002880096435546875 seconds, Priority: low

Received at 1705623482.2659712: Sent at 1705623482.265664, Delay: 0.0003070831298828125 seconds, Priority: low

Received at 1705623482.3664818: Sent at 1705623482.366185, Delay: 0.0002968311309814453 seconds, Priority: low

Received at 1705623482.4669714: Sent at 1705623482.466651, Delay: 0.0003204345703125 seconds, Priority: low

Received at 1705623482.567462: Sent at 1705623482.5671482, Delay: 0.00031375885009765625 seconds, Priority: low

Received at 1705623482.6679142: Sent at 1705623482.6676416, Delay: 0.00027251243591308594 seconds, Priority: low

